Barcode,Test time,E(lx),Candle E(fc),CCT(K),Duv,x,y,u,v,u',v',SDCM,Ra,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Ee(mW/cm2),S/P,Dominant(nm),Purity(%),HalfWidth(nm),Peak(nm),Center(nm),Centroid(nm),R ratio(%),G ratio(%),B ratio(%),CIE1931 X,CIE1931 Y,CIE1931 Z,Integral Time(ms),Peak Signal,Dark Signal,Compensate level,Test date
1686453,12:34:36,195.86,18.20,4265,0.00538,0.3724,0.3831,0.2174,0.3354,0.2174,0.5032,5.93,85.9,87.0,92.0,88.0,86.0,85.0,87.0,91.0,71.0,18.0,73.0,80.0,65.0,89.0,92.0,82.0,0.060,1.798,575.10,26.8,9.1,544.5,544.5,562.2,33.3,43.3,23.4,278.787,286.769,182.989,510,54385,2530,2876,2026-02-23
687644,12:34:51,68.17,6.33,6997,0.01322,0.3020,0.3383,0.1871,0.3144,0.1871,0.4717,10.75,85.1,89.0,94.0,81.0,78.0,80.0,80.0,96.0,83.0,35.0,68.0,64.0,65.0,90.0,88.0,88.0,0.023,2.412,493.80,10.2,7.7,544.5,544.5,543.0,25.0,37.8,37.3,89.109,99.812,106.096,730,54480,2490,2870,2026-02-23
854994,12:35:05,60.26,5.60,6539,0.00623,0.3114,0.3337,0.1952,0.3138,0.1952,0.4706,1.67,89.6,94.0,97.0,79.0,88.0,89.0,88.0,96.0,86.0,51.0,73.0,75.0,73.0,95.0,86.0,94.0,0.021,2.359,492.00,7.4,7.7,544.5,544.5,543.9,26.3,37.0,36.7,82.337,88.235,93.806,900,54838,2758,2870,2026-02-25
4641864,12:35:28,56.93,5.29,6774,0.00875,0.3069,0.3342,0.1919,0.3135,0.1919,0.4702,4.67,86.4,88.0,94.0,82.0,83.0,85.0,85.0,94.0,80.0,34.0,70.0,71.0,69.0,90.0,88.0,87.0,0.019,2.380,492.20,8.9,7.7,544.5,544.5,542.6,24.8,38.3,36.9,76.543,83.357,89.491,1100,58337,3612,2878,2026-02-23
95952,12:35:49,70.58,6.56,4144,0.00200,0.3756,0.3779,0.2214,0.3342,0.2214,0.5014,2.22,91.8,93.0,97.0,93.0,92.0,92.0,94.0,93.0,80.0,46.0,86.0,88.0,80.0,95.0,95.0,89.0,0.025,1.838,577.40,26.1,12.1,545.4,545.1,577.2,40.8,37.4,21.8,102.694,103.339,67.408,1600,50057,2705,2852,2026-02-23
6131335,12:36:32,1368.55,127.14,5390,0.00363,0.3352,0.3507,0.2051,0.3218,0.2051,0.4827,4.54,98.1,99.0,100.0,98.0,98.0,99.0,99.0,97.0,95.0,89.0,99.0,98.0,97.0,99.0,99.0,97.0,0.605,2.255,559.00,5.8,347.0,450.6,584.6,583.0,43.4,31.1,25.4,1915.548,2003.737,1794.841,160,51544,3157,2894,2026-02-23
6484642,12:37:02,72.35,6.72,5701,0.00606,0.3277,0.3489,0.2007,0.3205,0.2007,0.4808,5.45,88.9,91.0,95.0,86.0,87.0,88.0,88.0,94.0,82.0,44.0,76.0,78.0,75.0,93.0,90.0,90.0,0.025,2.203,531.80,3.4,8.2,544.5,544.5,555.7,30.8,37.8,31.4,99.505,105.934,98.162,1000,55285,3417,2878,2026-02-23
979661,12:37:22,161.21,14.98,3404,0.00188,0.4129,0.3988,0.2373,0.3438,0.2373,0.5157,2.01,86.1,85.0,93.0,97.0,86.0,86.0,93.0,85.0,64.0,15.0,85.0,87.0,77.0,87.0,99.0,77.0,0.052,1.545,580.50,43.6,148.6,596.8,580.7,583.0,42.8,41.2,16.0,244.375,236.025,111.446,1200,52181,3807,2878,2026-02-23
543434,12:37:45,85.41,7.93,3391,-0.00038,0.4112,0.3927,0.2387,0.3420,0.2387,0.5130,0.22,91.9,94.0,99.0,94.0,93.0,94.0,95.0,89.0,77.0,50.0,99.0,95.0,92.0,96.0,97.0,88.0,0.033,1.636,581.40,41.3,192.9,597.2,590.2,599.5,50.9,33.5,15.6,130.928,125.053,62.453,2400,54304,3465,2850,2026-02-23
4991464,12:38:33,64.51,5.99,1513,-0.01502,0.5478,0.3544,0.3559,0.3454,0.3559,0.5180,77.90,64.5,90.0,85.0,61.0,87.0,96.0,47.0,42.0,8.0,-60.0,70.0,89.0,2.0,96.0,82.0,60.0,0.023,0.834,602.10,70.8,6.0,611.4,612.1,602.3,68.1,22.8,9.1,146.009,94.452,26.057,380,52843,3291,2890,2026-02-23
